Squewed-Squewed Bin Size of Forest Test,,,,,,,,,,,
Best Accuracy: (201,0.009950249,2147483647,(1.0,1.0),0.3333333333333333) (TP, FN, FP, TN)(6587,369,2449,567)
TP,FN,FP,TN,,,,,,,,
6624,353,2419,583,,Total,Correct,,,,,
Accuracy,Recall,Precision,F1,,9979,7207,6977,0.699168253,,,
0.722216655,0.949405188,0.732500276,0.826966292,,,,9979,,,,
--------------------------------------------,,,,,,,,,,,
--------------------------------------------,,,,,,,,,,,
Actual, Assigned,Na•ve,,,,,,0.999999814,"Probability of seeing 7207 or less correct classifications for na•ve, given na•ve",,
TRUE,TRUE,TRUE,0,0,,,,1.8579E-07,Probability of seeing at least 7207 ,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,0.722216655,,,,
FALSE,TRUE,TRUE,0,0,,,0.200619758,,,,
TRUE,TRUE,TRUE,0,0,,,2.01042E-05,,,,
TRUE,TRUE,TRUE,0,0,,,0.00448377,0.008788189,,,
TRUE,TRUE,TRUE,0,0,,,0.713428466,,,,
FALSE,TRUE,TRUE,0,0,,,0.731004844,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
FALSE,TRUE,TRUE,0,0,,,,,,,
FALSE,TRUE,TRUE,0,0,,,,,,,
FALSE,TRUE,TRUE,0,0,,,,,,,
FALSE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
FALSE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,FALSE,TRUE,1,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
FALSE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
FALSE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
FALSE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
TRUE,TRUE,TRUE,0,0,,,,,,,
