Equal-Equal Bin Size of Forest Test,,,,,,,,,,,
Best Accuracy: (51,0.039215686,2147483647,(1.0,1.0),0.5) (TP, FN, FP, TN)(1695,1316,895,2116)
,,,,,,,,,,,
1723,1264,875,2121,,Total,Correct,NaiveCorrect,,,,
Accuracy,Recall,Precision,F1,,5983,3844,2987,2996,0.500752131,,
0.642487047,0.576832943,0.663202463,0.617009848,,,,,,,,
--------------------------------------------,,,,,,,,,,,
--------------------------------------------,,,,,,,,,,,
Actual,Classified,NAÏVE,,,,,,,,,
FALSE,TRUE,FALSE,1,0,,1.00000000000000000000000000000000000,"Probability of seeing 7207 or less correct classifications for naïve, given naïve",,,,
FALSE,FALSE,FALSE,0,0,,0,Probability of seeing at least 7207 ,,,,
FALSE,TRUE,FALSE,1,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
FALSE,TRUE,FALSE,1,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,TRUE,FALSE,0,1,,0.74541719527434800000000000000000000,,6996.132,,,
FALSE,FALSE,FALSE,0,0,,0.25458280472565200000000000000000000,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
FALSE,TRUE,FALSE,1,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,TRUE,FALSE,1,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,TRUE,FALSE,1,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,TRUE,FALSE,1,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,TRUE,FALSE,1,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,TRUE,FALSE,1,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,TRUE,FALSE,0,1,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
FALSE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
TRUE,FALSE,FALSE,0,0,,,,,,,
