projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted,is_exciting,at_least_1_teacher_referred_donor,fully_funded,at_least_1_green_donation,great_chat,three_or_more_non_teacher_referred_donors,one_non_teacher_referred_donor_giving_100_plus,donation_from_thoughtful_donor,great_messages_proportion,teacher_referred_count,non_teacher_referred_count
084fe758a099c88ed94aae0f54470af9,e0bb5bdc99db46ee4ba88015a04547df,390d551745ffb79a4ebbb88705af3356,3.70297E+11,35.301468,-80.774967,Charlotte,NC,28262,urban,Charlotte-mecklenburg Sch Dist,Mecklenburg,f,t,f,f,f,f,Ms.,f,f,Applied Sciences,Math & Science,Visual Arts,Music & The Arts,Technology,high poverty,Grades 3-5,35,214.06,251.84,26,t,f,3/26/11,f,,f,,f,,,,,,
084fdad45846536c208c4e6c93cc5c10,154b47f78c4956acae1d1db66b3fd7f5,473d487aefb0b3ff56a3eff0c0f0dc67,4.5021E+11,34.356536,-81.095715,Winnsboro,SC,29180,rural,Fairfield Co School District,Fairfield,f,f,f,f,f,f,Mrs.,t,f,Performing Arts,Music & The Arts,,,Technology,highest poverty,Grades 9-12,17,816,995.12,100,t,f,11/23/08,f,f,t,f,f,f,t,f,50,0,2
084fd2e31b9000be5cf7878c5ff0a812,42a0a7795bb78a1d7cbd9d4b1e49596e,098f288497d9ea47147622f58dbe588e,1.70993E+11,41.852699,-87.628249,Chicago,IL,60616,urban,Burnham Park Elem Network,Cook,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,,,Other,highest poverty,Grades 3-5,35,282.66,332.54,45,f,t,11/17/10,f,f,t,t,t,t,t,f,66,0,3
084fa1c34ada0a895988d000f3c6608d,c48c6052862e3127af7a2e10bd873aac,afaf801c2969ae7f7a9aa9b4cc1ef42b,2.80348E+11,30.3622,-88.54708,Pascagoula,MS,39567,urban,Pascagoula School District,Jackson,f,f,f,f,f,f,Mrs.,f,f,Applied Sciences,Math & Science,College & Career Prep,Applied Learning,Books,highest poverty,Grades 9-12,30,450.01,529.42,40,f,f,10/19/13,f,f,t,f,f,f,t,f,0,0,1
084f7c2cf4d3a2d1e51ce351421de23e,6bd5a327d5124d1822666b653a6c5259,04d96b690f1e3c2cf038151693f2c8e5,1.70462E+11,39.59421,-89.746274,Auburn,IL,62615,,Auburn Cmty Unit Sch Dist 10,Sangamon,f,f,f,f,f,f,Mrs.,f,f,Early Development,Applied Learning,,,Technology,high poverty,Grades PreK-2,35,215.47,253.49,21,f,f,10/2/11,f,t,t,t,f,f,f,f,0,2,2
084f3d00a6b7cb451412f763e9b80a9d,c132e43d5ddf44e13d041f379b3f5dd6,7ba87e9e3aec4d0a5e20111fcee5d7ee,1.70993E+11,41.669885,-87.634242,Chicago,IL,60628,urban,Far Southside K-12 Network,Cook,f,t,t,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Early Development,Applied Learning,Other,highest poverty,Grades PreK-2,17,274.63,334.91,40,f,f,6/4/09,f,,f,,f,,,,,,
084f0099784be8232c2f753954e20fde,e2f1cae5c73b15caa6a1f99bba1ead9e,0c8f5794a274822d2d4d4a85868249c0,3.00798E+11,46.674043,-105.849265,Kinsey,MT,59338,rural,Kinsey School District 63,Custer,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Health & Life Science,Math & Science,Technology,moderate poverty,Grades 6-8,30,650.99,765.87,15,f,f,10/20/13,f,f,f,t,t,f,t,f,100,0,2
084efdad56414f01c8216e65863e4834,3aa75f2aa5273a82ac07233e8a201f01,17a2108168be6769583715a37a2c3f31,2.50627E+11,42.197302,-72.630711,Holyoke,MA,1040,suburban,Holyoke Public School District,Hampden,f,t,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Books,highest poverty,Grades 6-8,35,440.29,517.99,65,t,f,1/7/12,f,f,t,t,t,t,t,f,88,0,11
084eeaa91ca1fe7811f6e00bd53b1e15,792b33c57277cb181c61d0c2feb6b83d,eecb57f4dd19f1bf1dca96ac073afc7e,63255009184,37.95208,-122.352058,San Pablo,CA,94806,suburban,West Contra Costa Usd,Contra Costa,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Environmental Science,Math & Science,Technology,highest poverty,Grades 3-5,9,739.19,901.45,40,t,f,3/28/10,f,f,t,f,f,f,t,f,0,0,2
084ec66d81c61f61096fdfa5fb32021a,ea180a2b242a2517c0c3ae68fa3d5106,a80288f816a8d3de474296ad428206b1,2.00498E+11,37.043714,-95.647531,Coffeyville,KS,67337,,Coffeyville Unified SD 445,Montgomery,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Supplies,highest poverty,Grades PreK-2,17,216,263.41,24,f,f,12/5/08,f,f,t,t,f,f,t,f,50,0,2
084eb7adaf930898d964b0a33e82f74f,3899861b64d732c44d1ae328f2529414,5bd9bab24f5f5d83a2e4baa3ae4d4a3c,3.60408E+11,40.730427,-73.260921,Bay Shore,NY,11706,suburban,Bay Shore Union Free Sch Dist,Suffolk,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Other,high poverty,Grades PreK-2,35,511.04,601.22,55,t,f,4/1/12,f,f,t,t,t,f,t,f,75,0,2
084eb7589bee32105b07f42fee62ad54,0605ec70577c4d421445d227686d70a6,239aeb775c344ced5507193d10713d88,2.10299E+11,38.060059,-85.89779,Louisville,KY,40272,urban,Jefferson Co School District,Jefferson,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Performing Arts,Music & The Arts,Technology,highest poverty,Grades PreK-2,35,582.73,685.56,24,f,f,1/22/12,f,t,t,t,f,f,t,f,0,2,1
084e9ed027ea283506bfb0ef174f1f16,418d9124d0cd87f12e7894c59182b421,c8b81fb2417ffe92aaaac17dd2b005b0,4.02163E+11,35.140767,-97.390472,Noble,OK,73068,rural,Noble Independent Sch Dist 40,Cleveland,f,f,f,f,f,f,Ms.,f,f,Social Sciences,History & Civics,,,Technology,highest poverty,Grades 3-5,17,920,1121.95,50,t,f,12/19/07,f,f,f,f,f,t,t,f,,0,3
084e79adb8320601da25885fd4d687e7,88f7c48604f130054803045c6ad3afff,cd4c29bbfd2378f2dc9f63048ac52fc3,5.10126E+11,38.827393,-77.208664,Annandale,VA,22003,suburban,Fairfax Co Public School Dist,Fairfax,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,30,151.68,178.45,17,t,f,9/25/12,f,f,t,t,f,t,f,f,20,0,6
084e26ca21944574148d51c0de3bf5d7,ba8542e9338476e94e3c0e1cd1ed3b02,2de0f856b26d45dccb0ca23111db4be5,63531006002,33.762342,-117.843946,Santa Ana,CA,92705,suburban,Santa Ana Unified Sch District,Orange,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,Gym & Fitness,Health & Sports,Supplies,highest poverty,Grades PreK-2,17,173,210.98,6,f,f,1/7/08,f,f,t,f,f,t,t,f,,0,3
084de2eaca31a06060339eeec5d96456,5103b0767ad672d779718f3b995f8fe2,f92bfbcabc780420e0e33769e2f3c696,1.80477E+11,39.766026,-86.199051,Indianapolis,IN,46222,urban,Indianapolis Public Sch Dist,Marion,f,f,f,f,f,f,Mr.,f,f,Environmental Science,Math & Science,Health & Life Science,Math & Science,Supplies,highest poverty,Grades 6-8,17,676,824.39,15,f,f,5/29/07,f,f,t,t,f,t,t,f,,0,5
084ddf42f89c8fa9814cebf7ce9585d0,6ea3809abec264a84bc5d7e325c13a04,259a53ab05f5872385ce7cc7f1fc3c59,3.60012E+11,40.702308,-73.953089,Brooklyn,NY,11206,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mrs.,f,t,Other,Applied Learning,Health & Life Science,Math & Science,Supplies,highest poverty,Grades PreK-2,,223.35,272.38,25,f,f,8/7/04,f,f,t,f,f,f,t,f,,0,1
084dda9376ceb4c6351dcc15b76c2292,d5af5de502b8738f5c519e6aab9a6085,7077f6aff74b64035bbf3e37858481da,90249000458,41.56644,-72.65645,Middletown,CT,6457,urban,Middletown Public Schools,Middlesex,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Social Sciences,History & Civics,Other,highest poverty,Grades 3-5,30,148.88,175.15,24,f,f,1/1/13,f,f,t,t,t,t,f,f,75,0,8
084dd2ae52e42ce714a15a1d7eb38d1e,5103b0767ad672d779718f3b995f8fe2,f92bfbcabc780420e0e33769e2f3c696,1.80477E+11,39.766026,-86.199051,Indianapolis,IN,46222,urban,Indianapolis Public Sch Dist,Marion,f,f,f,f,f,f,Mr.,f,f,Special Needs,Special Needs,Mathematics,Math & Science,Technology,highest poverty,Grades 9-12,9,1306.4,1593.17,180,t,f,9/29/09,f,f,t,t,f,t,t,f,38,0,16
084d8e8d97dcd1dc05359f9c6ccec5d8,6b7d156cbab782817c76fdc4840b0013,03454d2c50499c382f08478c2ca8c39b,2.61995E+11,42.31568,-85.647953,Kalamazoo,MI,49006,suburban,Kalamazoo Public School Dist,Kalamazoo,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,,,Technology,highest poverty,Grades 9-12,9,720.9,879.15,90,t,f,8/26/09,f,f,t,t,t,t,t,f,75,0,12
084d77603f231d273d71bed775edaf91,328be156ba66b58053d7ea840d399c7e,7897128589cb644a7a6de17e6fcef013,3.70282E+11,35.832053,-82.875446,Hot Springs,NC,28743,rural,Madison Co School District,Madison,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Supplies,highest poverty,Grades PreK-2,35,413.35,486.29,20,t,t,9/20/10,f,,f,,f,,,,,,
084d74b3ee70c92c129a4414a1bac2dd,056a0765be0378e1fe32be35fb95b9fe,965524eb744a7f126a43acc36177c70e,4.82364E+11,29.849398,-95.349633,Houston,TX,77093,urban,Houston Ind School District,Harris,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,ESL,Literacy & Language,Other,high poverty,Grades PreK-2,35,426.18,501.39,18,f,f,3/27/11,f,,f,,f,,,,,,
084d5552ede1a51775c1bbdcb4bf13ed,ce2d705d3da6ccce1c9c5f0a0d501332,16abb134bc60a1a267aaf19c65e5cf27,62271003079,34.26107,-118.511972,Granada Hills,CA,91344,urban,Los Angeles Unif Sch Dist,Los Angeles,f,t,f,f,f,f,Mr.,f,f,Gym & Fitness,Health & Sports,Health & Wellness,Health & Sports,Supplies,highest poverty,Grades 6-8,35,500.19,588.46,999,t,f,1/30/12,f,f,f,f,f,f,f,f,50,0,1
084d2c3cbee0b75d35f11c51b55f476e,3aa16a9a86d451a92794dd613eaca2aa,1ffbf7f46e3e3220bcf45c309db5d842,1.72385E+11,41.817652,-87.78641,Stickney,IL,60402,suburban,Lyons Elem School Dist 103,Cook,f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,Visual Arts,Music & The Arts,Technology,highest poverty,Grades 3-5,17,437,532.93,49,f,f,4/4/08,f,,f,,f,,,,,,
084d1bd288dc9f2cd0df1e06dce7f238,ce41ecbb9843b90d2973703e8c8f2c22,10e0d8bb1d6ca3498d225e71bced43c9,2.9164E+11,39.109141,-94.550643,Kansas City,MO,64124,urban,Kansas City School District 33,Jackson,f,t,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 3-5,30,404.76,476.19,50,t,f,7/27/12,f,f,t,t,f,f,t,t,50,0,2
084d1a9fddf3059ecd4c57d2523596ef,584a68ab58ca05ade7820c7c86ea9aef,46a8a37eca63cd5fb11580ccfadb187b,61704002103,33.86865,-118.391404,Hermosa Beach,CA,90254,suburban,Hermosa Beach City Sch Dist,Los Angeles,f,f,f,f,f,f,Ms.,f,f,Environmental Science,Math & Science,,,Technology,low poverty,Grades PreK-2,35,910.06,1070.66,28,t,f,2/6/11,f,f,t,f,f,f,t,f,0,0,2
084d08a2a2213f35c055b41bcaa6df38,74ce51578a24f666c6e59b1ffe7afe1e,30865f5ecf10d94a06941452b869fb2f,4.50366E+11,34.994382,-81.920901,Spartanburg,SC,29303,suburban,Spartanburg School District 7,Spartanburg,f,f,f,f,f,f,Mrs.,f,f,Applied Sciences,Math & Science,,,Supplies,highest poverty,Grades 3-5,35,197.66,232.54,60,f,f,3/14/11,f,f,t,t,f,t,t,f,50,0,3
084cac51cdbcac71faaed93e5dda2590,8b3eb8f3c25345ecccd18efb43adbb00,7b41c615990b3c317285fa7360f471e7,4.8348E+11,33.180533,-94.747845,Omaha,TX,75571,rural,Pewitt Cons Ind School Dist,Morris,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 9-12,17,359,437.8,84,t,f,2/3/09,f,f,t,t,f,t,t,f,50,0,5
084c88b85f9705a300ecfe3dcef740a7,7349a7a132ed532fb3f84483aded3872,ffa954a72494b7584498a6fcbcd511ff,1.80882E+11,39.69088,-86.094826,Indianapolis,IN,46237,urban,Msd Perry Twp,Marion,f,f,t,f,f,f,Mrs.,f,f,Special Needs,Special Needs,,,Supplies,high poverty,Grades PreK-2,30,269.46,317.01,10,f,f,5/19/13,f,f,t,t,t,t,t,f,100,0,4
