Label,ID,,,,Latitude,Longitude,,,,School Metro,,,School Charter,School Magnet,School Year Round,School Nlns,School Kipp,School Charter Ready Promise,Teacher Prefix,Teach For America,Teacher NY Teaching Fellow,Primary Focus Subject,Primary Focus Area,Secondary Focus Subject,Secondary Focus Area,Resource Type,Poverty Level,Grade Level,,Total Price,Total Price Plus Opt,Students Reached,Eligible For Double Your Impact,Eligible Almost Home Match,Date Posted,,,Is Fully Funded,ID
-1,0.0,0.0,0.0,0.0,35.313308,-119.103692,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,27.0,5.0,2.0,3.0,1.0,0.0,442.91,540.13,30.0,-1.0,-1.0,3780.0,0.0,0.0,0.0,#21181d03e6bf95da398195c7d1f47d02
1,0.0,0.0,0.0,0.0,35.165155,-80.863411,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,0.0,0.0,1.0,4.0,1.0,0.0,182.55,214.76,16.0,-1.0,-1.0,3909.0,0.0,0.0,0.0,#21182385baddfad735b877a4d7f26f17
1,0.0,0.0,0.0,0.0,36.225002,-86.285944,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,8.0,3.0,17.0,6.0,1.0,4.0,1.0,0.0,206.49,237.34,20.0,-1.0,-1.0,3850.0,0.0,0.0,0.0,#211834ebde6c865b8895c044022cf2e8
1,0.0,0.0,0.0,0.0,37.832275,-122.25547,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,2.0,3.0,12.0,3.0,2.0,3.0,4.0,0.0,636.0,775.61,120.0,-1.0,-1.0,3098.0,0.0,0.0,0.0,#21184b5798c68d4656e161083a026b1f
1,0.0,0.0,0.0,0.0,37.725848,-122.432466,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,25.0,6.0,8.0,3.0,2.0,4.0,2.0,0.0,365.29,429.75,24.0,-1.0,-1.0,4578.0,0.0,0.0,0.0,#2118502690f405c0df8cb94757b0de43
-1,0.0,0.0,0.0,0.0,31.937697,-81.310135,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,25.0,6.0,17.0,6.0,3.0,2.0,2.0,0.0,372.18,437.86,27.0,-1.0,-1.0,4088.0,0.0,0.0,0.0,#2118526eb43fe8d0944df7fb9490b445
1,0.0,0.0,0.0,0.0,35.931384,-79.955779,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,8.0,3.0,17.0,6.0,3.0,4.0,1.0,0.0,326.48,375.26,17.0,1.0,1.0,3865.0,0.0,0.0,0.0,#21190c7f7250e97de85482eb1a5a2e55
1,0.0,0.0,0.0,0.0,29.972683,-92.109486,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,9.0,7.0,7.0,7.0,6.0,4.0,1.0,0.0,389.63,458.39,20.0,1.0,-1.0,4714.0,0.0,0.0,0.0,#21193b7708190e972f8c44e8118ac6cd
-1,0.0,0.0,0.0,0.0,34.351809,-86.001228,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,9.0,7.0,26.0,1.0,2.0,3.0,4.0,0.0,464.15,546.06,450.0,-1.0,-1.0,5085.0,0.0,0.0,0.0,#211956de90b98c67bc722d0a083d5142
1,0.0,0.0,0.0,0.0,30.445609,-90.432913,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,5.0,7.0,0.0,0.0,3.0,3.0,1.0,0.0,691.88,843.76,750.0,-1.0,-1.0,2623.0,0.0,0.0,0.0,#211970f8d4c3db008efe9bb73b9b0335
1,0.0,0.0,0.0,0.0,40.727826,-73.978721,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,293.79,358.28,18.0,1.0,1.0,3696.0,0.0,0.0,0.0,#21197292b83e9492c4d26b2018f9a28f
-1,0.0,0.0,0.0,0.0,34.492882,-82.603347,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,25.0,6.0,0.0,0.0,2.0,4.0,2.0,0.0,592.59,722.67,18.0,1.0,-1.0,3639.0,0.0,0.0,0.0,#2119835655662ec33b5b428ba65acdb4
-1,0.0,0.0,0.0,0.0,36.01744,-79.075546,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,6.0,4.0,9.0,7.0,2.0,3.0,2.0,0.0,280.0,341.46,100.0,-1.0,-1.0,3270.0,0.0,0.0,0.0,#21198cba4df03f728f8a1f1d5324177b
1,0.0,0.0,0.0,0.0,39.253603,-76.620537,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,-1.0,25.0,6.0,10.0,5.0,3.0,4.0,3.0,0.0,848.74,998.52,60.0,-1.0,-1.0,3876.0,0.0,0.0,0.0,#2119925cef8ff9ccdf74c4d23706b500
1,0.0,0.0,0.0,0.0,40.874756,-73.867821,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,17.0,6.0,0.0,0.0,2.0,4.0,2.0,0.0,448.57,527.73,25.0,-1.0,-1.0,4346.0,0.0,0.0,0.0,#2119990d789f63b363e8e950ee4da9d3
-1,0.0,0.0,0.0,0.0,43.1145,-94.684951,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,7.0,7.0,24.0,4.0,2.0,3.0,1.0,0.0,472.0,575.61,25.0,-1.0,-1.0,3424.0,0.0,0.0,0.0,#2119bf1a951f82abcc7f993c9c531929
-1,0.0,0.0,0.0,0.0,44.09271,-121.273438,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,24.0,4.0,17.0,6.0,3.0,3.0,1.0,0.0,511.98,624.37,23.0,-1.0,-1.0,3420.0,0.0,0.0,0.0,#2119e479ea6b9e69e5310e7af555f778
-1,0.0,0.0,0.0,0.0,28.080644,-82.440129,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,25.0,6.0,0.0,0.0,2.0,4.0,2.0,0.0,603.65,710.18,125.0,-1.0,-1.0,4191.0,0.0,0.0,0.0,#2119f4ed9b36353706b005b0541e1088
-1,0.0,0.0,0.0,0.0,34.793568,-82.42502,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,6.0,4.0,2.0,3.0,3.0,3.0,2.0,0.0,427.0,520.73,960.0,-1.0,-1.0,3029.0,0.0,0.0,0.0,#211a18f54119530db4d1397dd594b052
