Label,ID,,,,Latitude,Longitude,,,,School Metro,,,School Charter,School Magnet,School Year Round,School Nlns,School Kipp,School Charter Ready Promise,Teacher Prefix,Teach For America,Teacher NY Teaching Fellow,Primary Focus Subject,Primary Focus Area,Secondary Focus Subject,Secondary Focus Area,Resource Type,Poverty Level,Grade Level,,Total Price,Total Price Plus Opt,Students Reached,Eligible For Double Your Impact,Eligible Almost Home Match,Date Posted,,,Is Fully Funded,ID
1,0.0,0.0,0.0,0.0,39.669817,-85.701669,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,4.0,6.0,4.0,3.0,2.0,4.0,0.0,293.0,357.32,32.0,-1.0,-1.0,2476.0,0.0,0.0,0.0,#253cdaa531f25ec7a25da1462521d874
-1,0.0,0.0,0.0,0.0,33.824702,-118.012641,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,5.0,7.0,8.0,3.0,2.0,4.0,3.0,0.0,965.8,1136.24,200.0,-1.0,-1.0,4717.0,0.0,0.0,0.0,#253ce1be5b4345483dcd2c640d71be6d
1,0.0,0.0,0.0,0.0,40.649203,-74.012325,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,17.0,6.0,23.0,6.0,1.0,4.0,2.0,0.0,201.5,237.06,12.0,1.0,-1.0,3943.0,0.0,0.0,0.0,#253cf3bbad3735358b73c3f11aa2798b
-1,0.0,0.0,0.0,0.0,36.178444,-115.113045,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,-1.0,17.0,6.0,6.0,4.0,1.0,4.0,1.0,0.0,330.46,388.78,20.0,1.0,-1.0,5064.0,0.0,0.0,0.0,#253d1290d9ea05f994c141e18f6ec0e1
1,0.0,0.0,0.0,0.0,37.562139,-122.030805,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,206.81,243.31,600.0,-1.0,-1.0,4291.0,0.0,0.0,0.0,#253d3497a1abcb3f14e5f26c0a78a103
-1,0.0,0.0,0.0,0.0,35.567989,-82.554831,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,0.0,512.01,602.36,60.0,-1.0,-1.0,4110.0,0.0,0.0,0.0,#253d4e412f5ccc0f85f9698cf92f2473
-1,0.0,0.0,0.0,0.0,33.367889,-93.479885,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,8.0,3.0,0.0,0.0,2.0,4.0,3.0,0.0,230.64,271.34,150.0,1.0,-1.0,4202.0,0.0,0.0,0.0,#253d514e2e186b246e466a35ade07d97
1,0.0,0.0,0.0,0.0,36.152847,-95.933397,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,4.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,291.58,343.04,60.0,-1.0,-1.0,4368.0,0.0,0.0,0.0,#253d5d35a8b9970934d4161998c7aeba
-1,0.0,0.0,0.0,0.0,39.792818,-85.779642,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,24.0,4.0,0.0,0.0,3.0,2.0,4.0,0.0,826.54,972.4,500.0,-1.0,-1.0,5096.0,0.0,0.0,0.0,#253d822ccc07497520140102517fe254
1,0.0,0.0,0.0,0.0,28.043857,-82.592136,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,17.0,6.0,25.0,6.0,2.0,2.0,1.0,0.0,389.24,457.93,18.0,-1.0,-1.0,4110.0,0.0,0.0,0.0,#253d8b3376ced2b635da3884885f9a54
-1,0.0,0.0,0.0,0.0,32.709585,-89.818518,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,12.0,3.0,8.0,3.0,2.0,4.0,4.0,0.0,434.0,529.27,92.0,1.0,-1.0,3148.0,0.0,0.0,0.0,#253d92f0a40da3de69ed1dd4a167818d
