projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted,is_exciting,at_least_1_teacher_referred_donor,fully_funded,at_least_1_green_donation,great_chat,three_or_more_non_teacher_referred_donors,one_non_teacher_referred_donor_giving_100_plus,donation_from_thoughtful_donor,great_messages_proportion,teacher_referred_count,non_teacher_referred_count
10b35aa4750d5baede1e51ce8d60c70d,d63e30890a844afa6e2d3b8aec9f5540,087a4f9fd4217aa10bafd2ae0edf950b,2.50279E+11,42.352005,-71.13768,Allston,MA,2134,urban,Boston Public School District,Suffolk,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,,,Technology,highest poverty,Grades PreK-2,35,254.03,298.86,3,f,f,9/30/10,f,f,t,t,t,t,t,f,75,0,4
10b34e3facd21855cb0b8f87e43fda15,d209e558167f24c702370192699df73c,b65ea76fa63182c77fc54bcf57eb37fb,50828000553,35.824153,-90.717914,Jonesboro,AR,72401,urban,Jonesboro Public Schools,Craighead,f,f,f,f,f,f,Mrs.,f,f,Applied Sciences,Math & Science,,,Books,highest poverty,Grades 3-5,35,587.01,690.6,75,f,f,9/29/11,f,f,t,t,f,f,t,f,50,0,2
10b33efce41dd47e62787b17c4784706,f743682d98073eac924704e5a703a760,ccfcd58a59626becd2b0dd3f01d96764,63684006265,34.280634,-118.711043,Simi Valley,CA,93063,suburban,Simi Valley Unified Sch Dist,Ventura,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Other,highest poverty,Grades 3-5,35,436.6,501.84,24,f,f,8/5/10,f,f,t,f,f,f,t,f,0,0,1
10b2ef5696fece262acff0ec2a45c4d8,d505fee45cab9c9113ee8d637a9ac554,14f7c6439a7494e7799d7df20e2ea7b1,3.60008E+11,40.716271,-73.992613,New York,NY,10002,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,t,f,f,Ms.,f,f,Music,Music & The Arts,Performing Arts,Music & The Arts,Supplies,highest poverty,Grades 6-8,35,227.84,268.05,30,t,f,12/17/11,f,f,t,f,f,t,t,f,40,0,5
10b2e54fefd265caeaad3e4e111a4329,3ea5a1e92e4bc6ebdd41b64abd9751bd,40e9698b5b12c7d2d3da549774585c5a,3.6001E+11,40.742546,-73.863263,Corona,NY,11368,urban,New York City Dept Of Ed,Queens,f,f,f,f,f,f,Mr.,f,f,History & Geography,History & Civics,Literacy,Literacy & Language,Books,highest poverty,Grades 6-8,17,242,295.12,30,f,f,10/28/07,f,,f,,f,,,,,,
10b2d37144181eb2d9b61615879a1bd5,cf03e8a571fcc13f49ec16f38c49f338,7906e301fae45a03bc671fd70a853365,1.30102E+11,32.12065,-81.251104,Pooler,GA,31322,rural,Savannah-chatham Co Sch Dist,Chatham,f,t,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Other,high poverty,Grades 3-5,35,229.73,270.27,60,f,f,8/1/11,f,t,t,t,f,t,f,f,16,1,3
10b2542ebe1230395742640c5e175935,db145ba926c1a2f643cc9f828a6b0511,fe356a3448cba44bf2505dd4a9b02f6f,62271003204,33.986721,-118.291643,Los Angeles,CA,90044,urban,Los Angeles Unif Sch Dist,Los Angeles,f,t,t,f,f,f,Ms.,t,f,Applied Sciences,Math & Science,,,Supplies,highest poverty,Grades 6-8,35,637.83,750.39,133,t,f,1/12/12,f,f,t,f,f,t,t,f,25,0,31
10b252f10f5d52d2fb187a95826ab181,c66e45b0f4fb259758ba8fdb003cfd98,ae2d7d07e7f8969e59d723b5f91ef09b,4.20002E+11,40.455711,-80.023216,Pittsburgh,PA,15233,urban,Pittsburgh Public Sch District,Allegheny,t,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,moderate poverty,Grades PreK-2,35,537.55,632.41,18,f,f,9/25/11,f,t,t,t,f,t,t,f,50,1,13
10b245b2f21cc9c45c8743d59876101b,6e8a694bead8864da80238e97e669993,c1ac005b96230b1d9341cf04ffe6bd48,62271002916,34.253609,-118.586342,Chatsworth,CA,91311,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,f,f,f,f,Mr.,f,f,Special Needs,Special Needs,Applied Sciences,Math & Science,Technology,high poverty,Grades 9-12,35,677.69,797.28,50,t,f,1/29/12,f,,f,,f,,,,,,
10b23de311b41f35b09482d8be264991,f58e20a6d980fef2bebb6ac062a69fdc,e03bfcf2ea88a694947383603e12508a,4.81164E+11,32.299203,-95.62083,Brownsboro,TX,75756,rural,Brownsboro Ind School District,Henderson,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,,,Technology,high poverty,Grades 6-8,35,426.29,501.52,75,t,f,5/10/12,f,f,t,t,f,f,t,f,0,0,2
