actual,assigned
1.0,0.72313499
1.0,1.0367548
1.0,0.97692179
1.0,1.0170428
1.0,1.0437116
1.0,1.0251867
1.0,0.98890592
1.0,0.88545367
1.0,0.92050924
1.0,0.75467878
1.0,0.43273333
1.0,1.0131224
-1.0,1.0087449
1.0,0.89572456
1.0,-1.1657908
-1.0,0.33348602
1.0,1.0025859
1.0,0.71384894
1.0,0.9525392
-1.0,0.70983997
1.0,0.96349531
1.0,1.020585
-1.0,1.0301132
1.0,0.97390569
1.0,-0.071652048
1.0,0.94717699
1.0,0.97651071
-1.0,0.16186357
1.0,1.2583765
1.0,1.0528993
1.0,0.96227
1.0,1.0192166
-1.0,-0.86432646
1.0,0.36654601
-1.0,0.96160417
1.0,1.0008132
1.0,0.86505492
1.0,0.98653806
1.0,-0.18563904
1.0,1.0004353
1.0,1.0408684
1.0,0.63145624
1.0,1.1036153
1.0,0.67706735
1.0,0.76979375
1.0,0.90348603
1.0,0.88709958
1.0,0.22084139
-1.0,1.0701751
-1.0,0.78526654
1.0,1.0326985
-1.0,0.93556888
-1.0,1.0119254
-1.0,0.58677563
-1.0,1.0862024
1.0,-0.34849401
1.0,0.87702547
-1.0,0.96824031
-1.0,0.83100938
1.0,1.1053092
1.0,0.85235265
-1.0,1.0010468
-1.0,1.1278802
1.0,0.98733363
-1.0,0.91543231
-1.0,0.64770585
1.0,0.76240718
-1.0,0.95720949
-1.0,0.99702529
1.0,0.99319898
1.0,-0.21058935
1.0,0.91163754
1.0,0.9967169
1.0,1.0471215
-1.0,-0.95442428
1.0,0.88038791
-1.0,1.0512587
1.0,1.041569
-1.0,-0.65132327
-1.0,-0.26288829
1.0,0.99024623
1.0,0.80249341
1.0,1.1026767
-1.0,0.9891772
1.0,1.0991715
1.0,0.91424918
1.0,0.94524802
1.0,0.96531709
-1.0,0.80199911
1.0,0.40662577
-1.0,1.0711331
1.0,0.35608474
1.0,0.98479772
-1.0,0.90008181
1.0,0.67384065
1.0,0.78148266
1.0,1.0097742
1.0,1.1781538
1.0,0.79151709
-1.0,1.1970522
-1.0,0.97555455
-1.0,0.065990874
1.0,0.78768792
1.0,-0.75763114
1.0,1.1422892
1.0,0.92117537
1.0,0.85956843
-1.0,0.97652509
1.0,1.0137398
1.0,0.78518626
1.0,0.94020612
-1.0,0.45290807
1.0,0.99729183
-1.0,0.64939203
-1.0,0.66412178
-1.0,1.1150984
-1.0,0.40759437
1.0,1.0958119
1.0,1.0158522
1.0,1.0360207
-1.0,0.99007595
1.0,0.95940783
1.0,0.52084063
1.0,1.0281791
-1.0,0.46813344
1.0,1.0223561
-1.0,-0.62520851
-1.0,1.0331362
1.0,0.80182529
1.0,1.0367493
1.0,0.99072603
1.0,0.83382275
-1.0,1.0472587
1.0,0.89170225
1.0,0.98020193
-1.0,0.69516399
1.0,0.95977169
1.0,-0.64692352
-1.0,0.70292394
1.0,0.85790353
1.0,1.0234497
1.0,0.98622481
-1.0,0.91338447
-1.0,1.0554488
1.0,-0.93258847
1.0,1.0797768
-1.0,1.0365058
1.0,0.58537249
1.0,1.0742476
1.0,0.83819302
1.0,0.76196051
-1.0,-0.40988436
1.0,-0.021208642
-1.0,1.0379504
-1.0,1.0454233
1.0,1.0321168
1.0,1.0382084
1.0,0.97322151
1.0,1.0050928
1.0,1.0671508
-1.0,1.1338766
-1.0,1.0834141
1.0,1.0454633
-1.0,0.96048409
1.0,0.95417273
1.0,0.48708781
1.0,0.6409735
1.0,0.98458328
1.0,1.0332788
-1.0,0.88339428
