actual,assigned,Actual,ALGO,NAÏVE,,,Error,
1,-1.2024915,TRUE,FALSE,TRUE,1,0,1,
1,0.32351273,TRUE,TRUE,TRUE,0,0,0,
-1,1.0148349,FALSE,TRUE,TRUE,0,0,1,
1,0.74555964,TRUE,TRUE,TRUE,0,0,0,
1,1.0029537,TRUE,TRUE,TRUE,0,0,0,
-1,0.71287362,FALSE,TRUE,TRUE,0,0,1,
1,0.97556283,TRUE,TRUE,TRUE,0,0,0,
1,1.0214737,TRUE,TRUE,TRUE,0,0,0,
1,1.0312152,TRUE,TRUE,TRUE,0,0,0,
-1,0.97424301,FALSE,TRUE,TRUE,0,0,1,
1,-0.077859198,TRUE,FALSE,TRUE,1,0,1,
1,0.94083533,TRUE,TRUE,TRUE,0,0,0,
-1,0.98077508,FALSE,TRUE,TRUE,0,0,1,
1,0.22377982,TRUE,TRUE,TRUE,0,0,0,
1,1.2385219,TRUE,TRUE,TRUE,0,0,0,
1,1.0236511,TRUE,TRUE,TRUE,0,0,0,
1,0.94166952,TRUE,TRUE,TRUE,0,0,0,
-1,1.0207386,FALSE,TRUE,TRUE,0,0,1,
1,-0.84067008,TRUE,FALSE,TRUE,1,0,1,
1,0.38376463,TRUE,TRUE,TRUE,0,0,0,
1,0.9326619,TRUE,TRUE,TRUE,0,0,0,
1,0.98596953,TRUE,TRUE,TRUE,0,0,0,
-1,0.86629244,FALSE,TRUE,TRUE,0,0,1,
1,0.98982356,TRUE,TRUE,TRUE,0,0,0,
-1,-0.17973037,FALSE,FALSE,TRUE,0,1,0,
1,1.0065054,TRUE,TRUE,TRUE,0,0,0,
1,1.0536655,TRUE,TRUE,TRUE,0,0,0,
1,0.64510019,TRUE,TRUE,TRUE,0,0,0,
1,1.0910642,TRUE,TRUE,TRUE,0,0,0,
1,0.71583303,TRUE,TRUE,TRUE,0,0,0,
1,0.78833332,TRUE,TRUE,TRUE,0,0,0,
1,0.89955326,TRUE,TRUE,TRUE,0,0,0,
1,0.93878799,TRUE,TRUE,TRUE,0,0,0,
1,0.23759617,TRUE,TRUE,TRUE,0,0,0,
1,1.0310427,TRUE,TRUE,TRUE,0,0,0,
1,0.79306157,TRUE,TRUE,TRUE,0,0,0,
1,1.0222661,TRUE,TRUE,TRUE,0,0,0,
1,0.98375286,TRUE,TRUE,TRUE,0,0,0,
-1,1.0155434,FALSE,TRUE,TRUE,0,0,1,
-1,0.61306369,FALSE,TRUE,TRUE,0,0,1,
1,1.0686147,TRUE,TRUE,TRUE,0,0,0,
-1,-0.32686077,FALSE,FALSE,TRUE,0,1,0,
-1,0.86837529,FALSE,TRUE,TRUE,0,0,1,
-1,0.99863606,FALSE,TRUE,TRUE,0,0,1,
-1,0.84876169,FALSE,TRUE,TRUE,0,0,1,
1,1.0831384,TRUE,TRUE,TRUE,0,0,0,
1,0.87442471,TRUE,TRUE,TRUE,0,0,0,
-1,1.0060053,FALSE,TRUE,TRUE,0,0,1,
-1,1.0955174,FALSE,TRUE,TRUE,0,0,1,
1,0.97818847,TRUE,TRUE,TRUE,0,0,0,
1,0.95916651,TRUE,TRUE,TRUE,0,0,0,
-1,0.65855237,FALSE,TRUE,TRUE,0,0,1,
-1,0.7848373,FALSE,TRUE,TRUE,0,0,1,
1,0.96925088,TRUE,TRUE,TRUE,0,0,0,
-1,1.0035446,FALSE,TRUE,TRUE,0,0,1,
-1,1.0004458,FALSE,TRUE,TRUE,0,0,1,
1,-0.18990539,TRUE,FALSE,TRUE,1,0,1,
-1,0.9207639,FALSE,TRUE,TRUE,0,0,1,
-1,1.0225158,FALSE,TRUE,TRUE,0,0,1,
1,1.0123209,TRUE,TRUE,TRUE,0,0,0,
1,-0.90305182,TRUE,FALSE,TRUE,1,0,1,
1,0.86598922,TRUE,TRUE,TRUE,0,0,0,
1,1.0412713,TRUE,TRUE,TRUE,0,0,0,
1,1.0224362,TRUE,TRUE,TRUE,0,0,0,
-1,-0.64492721,FALSE,FALSE,TRUE,0,1,0,
1,-0.20584615,TRUE,FALSE,TRUE,1,0,1,
-1,0.97690139,FALSE,TRUE,TRUE,0,0,1,
1,0.80042376,TRUE,TRUE,TRUE,0,0,0,
-1,1.0948843,FALSE,TRUE,TRUE,0,0,1,
-1,0.9846854,FALSE,TRUE,TRUE,0,0,1,
1,1.061765,TRUE,TRUE,TRUE,0,0,0,
1,0.90966514,TRUE,TRUE,TRUE,0,0,0,
1,0.95944961,TRUE,TRUE,TRUE,0,0,0,
-1,0.95806779,FALSE,TRUE,TRUE,0,0,1,
1,0.80681231,TRUE,TRUE,TRUE,0,0,0,
1,0.42975744,TRUE,TRUE,TRUE,0,0,0,
1,1.053801,TRUE,TRUE,TRUE,0,0,0,
