actual,assigned,Actual,ALGO,NAÏVE,,,Error
1,-0.72890361,TRUE,FALSE,TRUE,1,0,1
1,-1.0519878,TRUE,FALSE,TRUE,1,0,1
-1,0.22163043,FALSE,TRUE,TRUE,0,0,1
1,-0.34064508,TRUE,FALSE,TRUE,1,0,1
1,-1.1884209,TRUE,FALSE,TRUE,1,0,1
-1,-0.47989911,FALSE,FALSE,TRUE,0,1,0
1,0.42054338,TRUE,TRUE,TRUE,0,0,0
1,-0.15871228,TRUE,FALSE,TRUE,1,0,1
1,1.0864189,TRUE,TRUE,TRUE,0,0,0
-1,0.05626031,FALSE,TRUE,TRUE,0,0,1
1,1.0115603,TRUE,TRUE,TRUE,0,0,0
1,0.048926503,TRUE,TRUE,TRUE,0,0,0
-1,0.84736442,FALSE,TRUE,TRUE,0,0,1
1,-0.080096651,TRUE,FALSE,TRUE,1,0,1
1,-0.59526225,TRUE,FALSE,TRUE,1,0,1
1,-1.4177162,TRUE,FALSE,TRUE,1,0,1
1,-1.5782675,TRUE,FALSE,TRUE,1,0,1
-1,-0.61268873,FALSE,FALSE,TRUE,0,1,0
1,-0.68928119,TRUE,FALSE,TRUE,1,0,1
1,0.69690331,TRUE,TRUE,TRUE,0,0,0
1,0.25785848,TRUE,TRUE,TRUE,0,0,0
1,-1.6099885,TRUE,FALSE,TRUE,1,0,1
-1,0.57312653,FALSE,TRUE,TRUE,0,0,1
1,0.1382585,TRUE,TRUE,TRUE,0,0,0
-1,-0.57856183,FALSE,FALSE,TRUE,0,1,0
1,1.1506746,TRUE,TRUE,TRUE,0,0,0
1,0.40062881,TRUE,TRUE,TRUE,0,0,0
1,0.010857423,TRUE,TRUE,TRUE,0,0,0
1,-0.53280654,TRUE,FALSE,TRUE,1,0,1
1,-0.28384692,TRUE,FALSE,TRUE,1,0,1
1,-0.50718588,TRUE,FALSE,TRUE,1,0,1
1,-0.84780036,TRUE,FALSE,TRUE,1,0,1
1,-0.13160055,TRUE,FALSE,TRUE,1,0,1
1,-0.48373245,TRUE,FALSE,TRUE,1,0,1
1,-0.77129246,TRUE,FALSE,TRUE,1,0,1
1,-1.5456846,TRUE,FALSE,TRUE,1,0,1
1,-1.0666713,TRUE,FALSE,TRUE,1,0,1
1,0.36536178,TRUE,TRUE,TRUE,0,0,0
-1,0.68183762,FALSE,TRUE,TRUE,0,0,1
-1,-1.3338748,FALSE,FALSE,TRUE,0,1,0
1,-0.1423443,TRUE,FALSE,TRUE,1,0,1
-1,-0.28605115,FALSE,FALSE,TRUE,0,1,0
-1,-1.1715554,FALSE,FALSE,TRUE,0,1,0
-1,0.58848223,FALSE,TRUE,TRUE,0,0,1
-1,0.24179694,FALSE,TRUE,TRUE,0,0,1
1,-1.6298121,TRUE,FALSE,TRUE,1,0,1
1,-0.84802558,TRUE,FALSE,TRUE,1,0,1
-1,-1.0582872,FALSE,FALSE,TRUE,0,1,0
-1,1.5903148,FALSE,TRUE,TRUE,0,0,1
1,-0.44063943,TRUE,FALSE,TRUE,1,0,1
1,0.55210549,TRUE,TRUE,TRUE,0,0,0
-1,1.016881,FALSE,TRUE,TRUE,0,0,1
-1,-0.41160492,FALSE,FALSE,TRUE,0,1,0
1,-3.9763687,TRUE,FALSE,TRUE,1,0,1
-1,-0.62201525,FALSE,FALSE,TRUE,0,1,0
-1,-0.83787804,FALSE,FALSE,TRUE,0,1,0
1,0.045039794,TRUE,TRUE,TRUE,0,0,0
-1,-0.78003878,FALSE,FALSE,TRUE,0,1,0
-1,-0.30296065,FALSE,FALSE,TRUE,0,1,0
1,0.30775603,TRUE,TRUE,TRUE,0,0,0
1,-0.63046934,TRUE,FALSE,TRUE,1,0,1
1,0.86223108,TRUE,TRUE,TRUE,0,0,0
1,0.70575339,TRUE,TRUE,TRUE,0,0,0
1,-1.5397278,TRUE,FALSE,TRUE,1,0,1
-1,-1.1484073,FALSE,FALSE,TRUE,0,1,0
