actual,assigned
1.0,-0.87854481
1.0,-0.91363373
1.0,-1.4560229
1.0,-0.80880929
1.0,1.5146318
1.0,0.069616733
1.0,-1.6869139
1.0,-1.2268243
1.0,-1.6887421
1.0,-1.2685855
1.0,-1.0211632
1.0,-0.757172
-1.0,-0.1858296
1.0,-0.89421749
1.0,-1.3800616
-1.0,-1.3221243
1.0,1.0336687
1.0,-1.2458159
1.0,-1.9072524
-1.0,0.40985801
1.0,0.43989059
1.0,-0.27181963
-1.0,0.55975798
1.0,-0.3576518
1.0,0.20184853
1.0,-0.24663044
1.0,0.5124416
-1.0,0.84272372
1.0,-0.75743964
1.0,0.24890912
1.0,0.10392573
1.0,-1.4223035
-1.0,-0.36021791
1.0,-0.31014277
-1.0,-1.9106155
1.0,0.45432461
1.0,-0.41075285
1.0,-0.4910279
1.0,0.58906911
1.0,-0.094819364
1.0,-0.093842259
1.0,1.0620991
1.0,-1.0002099
1.0,-0.68231122
1.0,-0.38415276
1.0,-0.21447707
1.0,-0.83083065
1.0,-0.60044841
-1.0,0.014545882
-1.0,-0.11986021
1.0,-0.95118293
-1.0,-0.0025836059
-1.0,-1.8159982
-1.0,0.80662899
-1.0,-0.1136184
1.0,-0.032034764
1.0,-0.59090109
-1.0,-0.94319928
-1.0,-0.23038357
1.0,-0.80112279
1.0,-0.14241486
-1.0,-0.71805107
-1.0,-0.83992001
1.0,-1.2461926
-1.0,-1.0746882
-1.0,-0.026249473
1.0,-0.82504846
-1.0,-0.16193212
-1.0,-1.2682138
1.0,-1.5693217
1.0,-0.31488568
1.0,-1.2074429
1.0,-1.0002281
1.0,0.74135683
-1.0,-0.99781657
1.0,-1.1765587
-1.0,-0.12071179
1.0,-1.3351403
-1.0,-1.0552137
-1.0,-0.2018414
1.0,-0.25926799
1.0,-0.91099424
1.0,0.92561741
-1.0,-0.13238284
1.0,0.38474337
1.0,-0.28665569
1.0,-1.7331581
1.0,-0.76649781
-1.0,-1.0609392
1.0,-0.78445638
-1.0,-1.0439398
1.0,0.57225456
1.0,-0.29846405
-1.0,-0.46783742
1.0,-1.2628234
1.0,-0.83605279
1.0,-1.7350166
1.0,-0.55588505
1.0,0.27606753
-1.0,-1.196936
-1.0,-0.86730713
-1.0,-0.73858628
1.0,-1.5804579
1.0,-0.6667999
1.0,-1.2139164
1.0,-0.7605149
1.0,-0.54301879
-1.0,-1.2304189
1.0,0.10686802
1.0,-0.88543209
1.0,0.25924709
-1.0,-0.85097054
1.0,0.63052884
-1.0,-0.3004878
-1.0,0.74880762
-1.0,-0.34596786
-1.0,-0.0016926268
1.0,-2.971601
1.0,-0.99518181
1.0,0.23326099
-1.0,0.12523591
1.0,0.47604071
1.0,0.51860596
1.0,-0.92667101
-1.0,-0.43550628
1.0,-0.34924044
-1.0,-0.46181515
-1.0,-1.1189795
1.0,-0.13151915
1.0,-0.62258294
1.0,0.14383512
1.0,-1.1926697
-1.0,-0.16498694
1.0,0.54198831
1.0,-0.17457189
-1.0,-0.32268345
1.0,-0.29904462
1.0,-0.53843593
-1.0,0.72025664
1.0,0.14695425
1.0,-0.30925255
1.0,-0.52560034
-1.0,-1.4153765
-1.0,-0.14189295
1.0,-1.1876299
1.0,-0.65548685
-1.0,-0.92763464
1.0,-0.23165149
1.0,-0.80434464
1.0,-0.091510081
1.0,-0.75805915
-1.0,0.094537923
1.0,0.59313581
-1.0,-0.59623381
-1.0,-0.82900791
1.0,-0.44650528
1.0,0.034328089
1.0,-0.53625343
1.0,0.55040819
1.0,0.34667431
-1.0,0.049344757
-1.0,-0.19799152
1.0,-1.1682397
