projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted,is_exciting,at_least_1_teacher_referred_donor,fully_funded,at_least_1_green_donation,great_chat,three_or_more_non_teacher_referred_donors,one_non_teacher_referred_donor_giving_100_plus,donation_from_thoughtful_donor,great_messages_proportion,teacher_referred_count,non_teacher_referred_count
18dd0e4fc4dd10671053bd91ef3a5d21,f9fe71dd4cf19dc811c36478d2c7c791,21a15e335696ccc2882eb4f075491af1,5.30771E+11,47.524329,-122.264832,Seattle,WA,98118,urban,Seattle School District 1,King,f,f,f,f,f,f,Mr.,f,f,Mathematics,Math & Science,,,Technology,highest poverty,Grades 9-12,35,383.22,450.85,72,t,f,11/14/11,f,t,t,f,f,f,t,f,50,1,2
18dd01342e41c38c77df4f8a0a086880,5845dec6e8d20b98e047f536f52219d8,eb5f023d5ce97330f69b9078b77d126a,63432008962,32.678896,-117.049168,San Diego,CA,92139,urban,San Diego Unified School Dist,San Diego,f,t,f,f,f,f,Mr.,f,f,Health & Life Science,Math & Science,Environmental Science,Math & Science,Technology,high poverty,Grades 9-12,17,863,1052.44,150,t,f,3/29/09,f,f,t,f,f,t,t,f,33,0,3
18dce7f55f6e5b07e21e21636b657b26,05f357f1c93119dbdf0faf1de046ab20,d8c031af8a590b903259bf367e28b4e3,1.6021E+11,43.639342,-116.368282,Meridian,ID,83646,,Meridian Joint School Dist 2,Ada,f,f,f,f,f,f,Mr.,f,f,Mathematics,Math & Science,,,Technology,moderate poverty,Grades 3-5,30,836.63,984.27,30,f,f,10/29/13,f,f,t,f,f,f,t,f,0,0,1
18dcd0b29b4750cbf3af210e1961c876,41b98e7f66ee93b5bb5c755497f9be82,c9eeccc3608b8df409d2553b55675bbf,1.2015E+11,26.497316,-80.086029,Boynton Beach,FL,33426,urban,Palm Beach Co School District,Palm Beach,t,f,f,f,f,f,Mr.,f,f,Health & Life Science,Math & Science,Environmental Science,Math & Science,Other,high poverty,Grades 9-12,30,1239.22,1457.91,200,f,f,12/3/13,f,f,t,t,t,t,t,f,100,0,5
18dcca8c9ab0b6253562abed82e9cd02,2bc418095cdf4b7620aabea130bcdd33,22519ebc692e375d7619933dfce14ed0,3.60008E+11,40.810383,-73.922691,Bronx,NY,10454,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,t,Special Needs,Special Needs,Literacy,Literacy & Language,Supplies,highest poverty,Grades PreK-2,30,513.77,604.44,12,f,f,5/11/13,t,t,t,t,t,t,t,t,100,4,10
18dcc3afc54279e83fe76a9763c19825,47385ff51c9a83eb8d637474fdf79980,2965d404453ebc02945e7259b85101e6,62271010527,34.192738,-118.463876,Van Nuys,CA,91405,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,35,405.1,476.59,24,t,f,8/23/11,f,f,t,f,f,t,t,f,50,0,3
18dc90bde862d5ce4d1b64eda8c45cc8,ba3f6e062b4d8a6097a718b722431b41,caca0bdcb7d2f1decf3a1588a4bfc31d,2.62115E+11,42.698184,-84.510499,Lansing,MI,48910,urban,Lansing School District,Ingham,f,f,f,f,f,f,Mrs.,f,f,Gym & Fitness,Health & Sports,Special Needs,Special Needs,Supplies,highest poverty,Grades 3-5,9,446.64,544.68,60,f,f,12/2/09,f,f,t,t,t,t,f,f,92,0,15
18dc61a3f65c9a00f72e5a7ce60bbe10,7c197c49c1db4fe36ca9182847170daa,6a81b8ed05d6dda2c98c0aa89439d70c,4.82034E+11,32.891492,-96.530079,Rowlett,TX,75088,suburban,Garland Ind School District,Dallas,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,,,Supplies,high poverty,Grades 3-5,9,167.09,203.77,20,t,f,5/3/10,f,f,t,t,f,t,t,f,25,0,4
18dc539dd8ddd1bc5176a6fbc091a03d,f48c8055803700d485bc26c266ea57c5,6821d9dd6c66c42df3da9a3bd2d1fd66,1.70993E+11,41.794655,-87.690343,Chicago,IL,60632,urban,Chicago Public School Dist 299,Cook,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,Literacy,Literacy & Language,Technology,highest poverty,Grades 3-5,17,445,542.68,18,f,f,11/16/08,f,f,t,t,t,t,t,f,100,0,4
18dc50f5d5229011a27a89ba3d64d399,d4c106cb6adcf3cc109e19f0399a57f8,e7c57cccc2e32dd567eff67888a8f552,2.92928E+11,38.603947,-90.27084,Saint Louis,MO,63139,urban,St Louis City Public Sch Dist,St Louis City,f,t,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,College & Career Prep,Applied Learning,Technology,highest poverty,Grades 9-12,35,432.5,497.13,120,f,f,7/24/10,f,f,f,f,t,t,f,f,100,0,3
18dc41645da5f781264a6ed86ca570f8,989e349da80c0837ea24c4cc2b6c8c62,395645aa4681b4c18d2280d692b05262,3.20006E+11,36.033219,-115.306969,Las Vegas,NV,89178,,Clark Co School District,Clark,f,f,t,f,f,f,Mr.,f,f,Parent Involvement,Applied Learning,,,Technology,moderate poverty,Grades 3-5,9,221.39,269.99,32,t,t,6/16/10,f,f,f,t,t,f,f,f,100,0,2
