countAll,percentageGroup,,,,
1,0.671921852,,,,
2,0.730471584,,,,
3,0.752354049,,,,
4,0.746284501,,,,
5,0.750862069,,,,
6,0.788113695,,,,
7,0.762523191,,,,
8,0.789583333,,,,
9,0.761437908,,,,
10,0.711538462,,,,
11,0.778409091,,,,
12,0.726851852,,,,
13,0.782051282,,,,
14,0.857142857,,,,
15,0.813333333,,,,
16,0.854166667,,,,
17,0.852941176,,,,
19,0.789473684,,,,
20,0.7,,,,
21,0.928571429,,,,
,,,,,
,,,,,
,21736,32349,21736,32349,0.671921852
,6041,8270,27777,40619,0.683842537
,2397,3186,30174,43805,0.688825477
,1406,1884,31580,45689,0.691194817
,871,1160,32451,46849,0.692672202
,610,774,33061,47623,0.694223379
,411,539,33472,48162,0.69498775
,379,480,33851,48642,0.69592122
,233,306,34084,48948,0.6963308
,185,260,34269,49208,0.696411153
,137,176,34406,49384,0.696703386
,157,216,34563,49600,0.696834677
,61,78,34624,49678,0.696968477
,72,84,34696,49762,0.697238857
,61,75,34757,49837,0.697413568
,41,48,34798,49885,0.697564398
,29,34,34827,49919,0.697670226
,15,19,34842,49938,0.697705154
,14,20,34856,49958,0.697706073
,39,42,34895,50000,0.6979
